Kadir _NOUN_,1119
Katrina in_ADP,1471
Karen_NOUN L._NOUN,1743
Kehoe_NOUN ,_.,1716
Keele_NOUN _NOUN_,1696
Kelley et_NOUN,1016
Ker_NOUN _NOUN_,1561
Kemal_NOUN ,,2103
Karger_NOUN _NOUN_,1445
Kampala_NOUN _NOUN_,2233
Kerala ._.,5217
Katherine_NOUN ,,14400
Keanu_NOUN _NOUN_,1132
Kentucky_NOUN Derby_NOUN,2855
Karen_NOUN asked_VERB,1276
Kehoe ,,1716
Katharine 's_PRT,3055
Kendra_NOUN _._,6308
Keeper _._,7316
Katonda _X_,2206
Kavanaugh_NOUN _VERB_,5498
Kant_NOUN in_ADP,2602
Kearney _._,10649
Kaplan ,_.,34842
Kathleen 's,3308
Kenneth_NOUN ._.,7791
Katie_NOUN did_VERB,1269
Kawashima_NOUN ,,1656
Kate_NOUN _PRT_,35712
Kauffman _NOUN_,2859
Kelly_NOUN &_CONJ,1334
Karolinska_NOUN Institutet_NOUN,1068
Kerala_NOUN _ADP_,2239
Keppel _._,1771
Katz (,3413
Katie is,1409
Kemp .,2767
Kari _CONJ_,1042
Kennedy Center_NOUN,2268
Keogh _NOUN_,1352
Ken _NOUN_,56037
Kane_NOUN and_CONJ,3775
Katherine _VERB_,35116
Keep_VERB _NUM_,1168
Ken said,2899
Kenny and_CONJ,3405
Kapernaum_X ,_.,2993
Kant_NOUN (,4396
Kendall_NOUN _CONJ_,3627
Kansas_NOUN _NOUN_,86987
Keisha _._,2831
Ken_NOUN Burns,1106
Karl and,4664
Karin_NOUN ,_.,2321
Kennedy_NOUN Center_NOUN,2268
Kemal 's,1622
Karimi_NOUN ,_.,2326
Kaskaskia _._,1552
Kelly said_VERB,5906
Keke_NOUN _._,2623
Katherine _._,29293
Kee_NOUN _NOUN_,2246
Kemp _PRT_,3016
Keith Richards,1505
Karsten ,_.,1370
Ker _NOUN_,1561
Kaplan -_.,3081
Karras _._,1673
Kees_NOUN _VERB_,2429
Kenyon _NOUN_,4326
Kearney _PRT_,1339
Karachi :_.,1889
Karl_NOUN _NUM_,3972
Kathy _ADV_,2166
Kansas .,16243
Kerala_NOUN _NUM_,1459
Kaminer_NOUN Deputy,1057
Katrina _._,17589
Kate_NOUN looked,3306
Kaplan _VERB_,6878
Katherine_NOUN _PRT_,10008
Keith_NOUN ?,1034
Kate_NOUN could_VERB,3667
Kapernaum_X _._,5484
Kaul_NOUN _NOUN_,2056
Kara said,1555
Karin and,1080
Kedar ,_.,1707
Katyn _NOUN_,1006
Kaufman and_CONJ,2417
Kathleen _PRT_,4121
Kate_NOUN with,1113
Katharine_NOUN _VERB_,8829
Keep on_PRT,3105
Keane 's_PRT,1025
Kawachi_NOUN ,_.,1538
Kellen _._,2495
Ke _CONJ_,3161
Keele University,1158
Kenyatta _NOUN_,1591
Keepers_NOUN _ADP_,2373
Keep_VERB _PRON_,112979
Kansas_NOUN ;,1216
Kavanaugh_NOUN _PRT_,4172
Kempis _._,1954
Kashmir .,8895
Kee _._,5252
Kendra _._,6308
Kenneth Clark_NOUN,1303
Katie_NOUN ,,18765
Kedah_NOUN _._,1565
Keane_NOUN 's,1027
Kat _VERB_,40740
Karen_NOUN had_VERB,3727
Kanak_NOUN _NOUN_,1138
Keren_NOUN ,,1081
Keeping your_PRON,3781
Katarina _VERB_,2452
Kayser_NOUN ,_.,1898
Karabakh_NOUN _._,2377
Kasser _._,1586
Kavanaugh and,1142
Kelly 's,21504
Kellner_NOUN ,_.,3526
Kelman_NOUN ,,2467
Kaylee _VERB_,3014
Kathleen_NOUN and_CONJ,1942
Kato _NOUN_,7661
Kapernaum _X_,2945
Kang _NOUN_,34782
Kauffman_NOUN _CONJ_,1279
Kantian_ADJ _NOUN_,15027
Kant_NOUN would,1358
Kavanaugh 's_PRT,3128
Kandinsky_NOUN _._,2769
Kantor_NOUN _VERB_,1030
Karl .,13511
Keep_VERB this,5867
Karen_NOUN (,1065
Karla _NOUN_,3427
Kent is_VERB,1051
Kate_NOUN and_CONJ,14952
Kass _VERB_,1783
Kato ,,8261
Ke _ADV_,3657
Karim_NOUN ,_.,5071
Kellen _VERB_,4407
Kaufman_NOUN _._,23446
Kanye_NOUN _NOUN_,2394
Kazin ,_.,1147
Kenan ,,1125
Kant_NOUN is,4702
Kentucky_NOUN Fried_NOUN,1644
Kaye_NOUN _._,10230
Katerina_NOUN ,_.,1383
Kendall_NOUN '_PRT,1021
Kant _._,68534
Kdož_NOUN by,1336
Kashyap_NOUN ,,2131
Kdož by,1336
Karlsruhe Institute,1614
Kay_NOUN _NOUN_,23337
Kaufman (,2185
Kasai _._,1618
Kathy had,1827
Kane_NOUN 's_PRT,7098
Katherine is,1031
Keel_NOUN _._,2446
Karnac .,2593
Kansas_NOUN (,1663
Karen_NOUN L.,1743
Kanu _._,3032
Katja _NOUN_,2813
Kawai ,,2306
Kenji ,_.,1056
Kenneth_NOUN C._NOUN,1151
Katz_NOUN _ADP_,1012
Kenneth_NOUN 's_PRT,2376
Keil_NOUN ,,4035
Kennett_NOUN ,,1391
Kellogg_NOUN ,_.,6179
Katotohanang_X sinasabi_X,1848
Keenan_NOUN _NOUN_,2305
Kazdin_NOUN _._,2566
Kawashima _._,1958
Karyn_NOUN _NOUN_,1129
Keddie_NOUN ,,1629
Karel_NOUN ,,1153
Karl_NOUN said_VERB,1824
Kepler_NOUN and_CONJ,1221
Kerensky_NOUN ,,1329
Kentucky was,1199
Kendra _ADP_,1011
Kendrick _._,6877
Kant_NOUN was_VERB,2873
Keneally_NOUN ,_.,1528
Kate_NOUN thought_VERB,1980
Kamp_NOUN ,,2495
Kazdin ,_.,2041
Keep a,13379
Kerensky _VERB_,1693
Katie_NOUN looked_VERB,1368
Kathy_NOUN said,2373
Kenyan _NOUN_,22692
Keeper _VERB_,4789
Kenya to_PRT,1703
Keel_NOUN _VERB_,1071
Kaufmann_NOUN (,1961
Keeping _NUM_,1285
Kara_NOUN .,3824
Kantian ethics_NOUN,1207
KdV_NOUN _NOUN_,1459
Kelso_NOUN _NOUN_,1089
Keep_VERB us,1740
Kayla _CONJ_,1778
Katrina_NOUN ._.,5852
Kappan_NOUN _._,2459
Kat .,8081
Kazuo_NOUN _NOUN_,2563
Kel .,1234
Karen was,5018
Kavanaugh _PRT_,4172
Kennett ,_.,1391
Katerina _VERB_,5189
Kay bisan_X,1185
Kara_NOUN -,1697
Karla_NOUN _NOUN_,3427
Keats _VERB_,6730
Kenelm_NOUN _NOUN_,1172
Kataoka_NOUN _._,1617
Kapur_NOUN _NOUN_,1540
Kazakhstan_NOUN 's,2655
Kasparov_NOUN _._,1416
Kent and,7283
Kaplan_NOUN _CONJ_,7293
Kappa Alpha_NOUN,1209
Kane_NOUN had,1839
Kant_NOUN argues,1219
Kant_NOUN '_PRT,8363
Kempe ,_.,2636
Kate_NOUN !_.,2630
Keep_VERB looking,2020
Keats _CONJ_,2105
Kenney _VERB_,1870
Kans _._,2022
Kasper _._,4593
Kenneth_NOUN P.,1146
Keith is,1216
Kennedy _NOUN_,52162
Kathmandu_NOUN ,,3812
Keep_VERB quiet_ADJ,2107
Karna_NOUN _VERB_,1473
Kaufman _NOUN_,6605
Kells ,_.,1136
Kathryn _VERB_,8718
Kandy ,_.,1952
Karen 's,11340
Kay -,1545
Katie_NOUN ',1694
Kay_NOUN siya,1112
Karolina _VERB_,1113
Kendall ,_.,13159
Kammen ,_.,1115
Kellett ,_.,1235
Katzenstein_NOUN ,,2003
Karpov _VERB_,1401
Kanpur_NOUN ,_.,2092
Kepler '_PRT,1208
Keen_VERB _._,1045
Kar ,,2639
Kayla_NOUN had,1434
Kansas and,5547
Kara_NOUN was,1794
Keeping_VERB _ADJ_,5011
Keep_VERB _ADJ_,15791
Kavanaugh_NOUN _CONJ_,1304
Karelia _._,1502
Katrina ._.,5852
Katrina _ADP_,2954
Katrina_NOUN _NOUN_,9345
Kemmis _._,1526
Katya _VERB_,10131
Kari_NOUN 's,1424
Kazi_NOUN _NOUN_,1218
Kasugoan _._,1469
Keane_NOUN _NUM_,1001
Katmai _NOUN_,1024
Kara ._.,3824
Kamloops _._,1069
Karl Pearson,1588
Kelley (_.,1309
Kar_NOUN _NOUN_,2562
Karim _VERB_,8254
Keller_NOUN says,1240
Kathi _NOUN_,1074
Kane_NOUN _NUM_,1194
Kel 's,1146
Katznelson_NOUN _._,1949
Keenan 's,1163
Kennedy_NOUN ?_.,1089
Kent is,1051
Karnac Books,2105
Kelly (_.,6422
Keeping a,5787
Kayla_NOUN 's,4054
Kathryn 's,1647
Kathmandu Valley,1071
Kennedy did,1260
Kaminsky ,,1588
Keep going,10312
Kaplan ._.,2158
Kato_NOUN ,_.,8261
Kanagawa_NOUN _NOUN_,1251
Kaplan_NOUN 's,3293
Keeping_VERB track_NOUN,1548
Kate turned,1526
Kelley_NOUN _NOUN_,8052
Kelemen ,_.,1268
Ke_NOUN was,3543
Kelly has,1188
Kenya_NOUN has,1570
Kansas_NOUN to,1412
Kentucky -,1072
Keaton _PRT_,1540
Katherine M.,1077
Katowice_NOUN ,_.,1276
Kang was,1403
Kenyans _._,1194
Ker (,1810
Kensington_NOUN _NOUN_,16593
Katie _DET_,1248
Kendra_NOUN ,,2623
Kendrick_NOUN ._.,1315
Kansas_NOUN State_NOUN,4584
Kaminski _NOUN_,1169
Kan._NOUN _NUM_,3753
Keep_VERB it,23626
Kennedy et,2066
Keeling _._,4007
Kemal ,_.,2103
Karachi_NOUN ,,5164
Karin _._,5331
Kellett _._,1532
Karl_NOUN --_.,1475
Kantorowicz_NOUN _._,1325
Kathleen M._NOUN,2528
Kawahara_NOUN _._,1030
Katz_NOUN ,_.,33068
Kaye ._.,1253
Katya_NOUN _NOUN_,1487
Kamp_NOUN _._,3184
Kelly is_VERB,2398
Kellie _VERB_,3273
Katie_NOUN was,6178
Kaushik_NOUN ,,1849
Kane ,,19419
Kashmir _ADP_,5405
Katzman_NOUN ,,1164
Kelly says,1206
Keeping_VERB _ADV_,2097
Keohane_NOUN and,1603
Kennan _PRT_,1868
Keats ,_.,7511
Kat _PRT_,8143
Kasugoan_NOUN _X_,1969
Kempf_NOUN ,_.,1100
Karsten_NOUN _NOUN_,2546
Karolinska_NOUN _NOUN_,2636
Katy_NOUN _ADP_,1384
Keller says,1240
Kass_NOUN ,_.,2402
Kate looked,3306
Kant_NOUN had,2181
Katrin_NOUN _VERB_,1248
Kaplan 's_PRT,3268
Kendra said_VERB,1290
Karnataka_NOUN ),1222
Keep_VERB me_PRON,6919
Kenzie _PRT_,1655
Katy _NOUN_,8627
Keep _ADJ_,16767
Karina _NOUN_,2639
Kedar_NOUN ,_.,1707
Kayenta_NOUN _NOUN_,1029
Kenzie ._.,1224
Kenneth_NOUN W.,2384
Keane_NOUN _PRT_,1282
Kaufmann_NOUN _._,17389
Kennedy_NOUN and,15024
Kayla_NOUN _ADP_,1464
Kapp _._,2524
Kay and,4121
Kane ,_.,19410
Karbala _._,1592
Kentucky 's,2803
Karl_NOUN _NOUN_,145660
Kant_NOUN ._.,6991
Katarina _NOUN_,2108
Kelvin_NOUN -,1538
Karan_NOUN ._.,1306
Kathryn_NOUN ,_.,3398
Kea_NOUN _._,1577
Keaton ,_.,1909
Kelleher_NOUN ,,2557
Kashmir_NOUN in,1511
Kenneth N._NOUN,1099
Ken_NOUN ._.,8451
Keats .,2065
Keep _NUM_,1206
Keogh _._,3548
Katz_NOUN Group,1742
Kareem _NOUN_,1898
Keitel_NOUN ,_.,1256
Kari_NOUN and,1001
Keen to,1658
Kenneth 's,2402
Kenya ',2331
Keep_VERB on_PRT,3105
Kenya_NOUN (,5578
Kenney ,_.,5147
Kaufman _CONJ_,3613
Kat ?,1290
Kassel ,,3072
Keats_NOUN ,_.,7511
Katherine_NOUN was,3343
Kellan _PRT_,1767
Katy_NOUN Perry_NOUN,1457
Kentish_NOUN Town,1442
Kate thought,2007
Kazan_NOUN ._.,1011
Kelly looked_VERB,1055
Kant has,1584
Kazemi ,_.,1214
Kemeny ,,1267
Kelly_NOUN -,2638
Kasper _NOUN_,2862
Kant_NOUN calls,1217
Kaufman_NOUN 's,1327
Keras ,_.,1039
Kenton ,_.,2089
Kepler_NOUN ,,5198
Keith_NOUN said_VERB,2398
Kaplan_NOUN (_.,3302
Kaplan &_CONJ,1518
Keith_NOUN was_VERB,3699
Kenan _NOUN_,1293
Keith ,,21736
Keck_NOUN ,_.,2817
Kawamoto _._,1200
Kenya in,2533
Karnataka _CONJ_,1952
Kennedy_NOUN had,6303
Karim_NOUN _NOUN_,5979
Kansas_NOUN _CONJ_,6961
Kansas_NOUN ._.,16226
Karimi_NOUN _NOUN_,1358
Karachi_NOUN _._,10827
Karnataka (_.,1432
Katie Ann,1049
Kay_NOUN 's,5374
Karthala_NOUN _._,1773
Kathleen_NOUN _ADP_,1338
Karl_NOUN said,1824
Kemal_NOUN _PRT_,1953
Keogh ,,2832
Kane and,3775
Kappan_NOUN ,_.,2287
Kan _NOUN_,6402
Kelly_NOUN _NUM_,5291
Kawano_NOUN _._,1170
Kant_NOUN had_VERB,2181
Karen '_PRT,1145
Kenzie_NOUN .,1224
Kelly Olliffe_NOUN,1333
Kampfgruppe_NOUN _NOUN_,1402
Kasper _VERB_,1685
Karim_NOUN 's_PRT,2059
Kardashian _NOUN_,1025
Kendrick _PRT_,1650
Kari _PRT_,1752
Ke_X _X_,1520
Kapha _NOUN_,1169
Kelemen_NOUN _._,1493
Katrina_NOUN and_CONJ,2980
Kanpur _NOUN_,1205
Kant_NOUN .,6991
Katharine_NOUN _._,7278
Kayla_NOUN ,_.,3763
Karen and_CONJ,7342
Katya_NOUN .,1635
Kate knew,1706
Kasper_NOUN _VERB_,1685
Kelly -,2638
Keeping a_DET,5787
Kapur_NOUN ,_.,4088
Kang_NOUN 's,2879
Kang_NOUN _NOUN_,34777
Kate (,1298
Katzman ,_.,1164
Kant_NOUN :_.,2113
Keeping_VERB a_DET,5787
Kenny_NOUN .,4125
Kanpur _._,3499
Kelley and_CONJ,2472
Kent_NOUN _NOUN_,39446
Kant _NOUN_,5259
Keeping_VERB them_PRON,1044
Karma _CONJ_,1313
Kate has_VERB,1480
Katotohanang_X _X_,2357
Keep and_CONJ,1224
Kani_NOUN _VERB_,1066
Kemp_NOUN (,1259
Kendrick_NOUN ,_.,4558
Karoli_NOUN 1589_NUM,32711
Kempton_NOUN _NOUN_,1013
Kapodistrian _NOUN_,1143
Kate_NOUN turned,1526
Kaposi_NOUN 's_PRT,3362
Kelley_NOUN ,_.,18753
Kasparov _VERB_,1606
Keppel ,,1321
Katrina_NOUN 's,2825
Kelly ',2773
Ken_NOUN _ADP_,2657
Kant_NOUN _NOUN_,5203
Keep Your,2340
Karnac_NOUN .,2592
Karen_NOUN (_.,1065
Keith ?,1034
Kant_NOUN -,1192
Keppel_NOUN _._,1769
Kelsey _PRT_,3987
Kazan .,1012
Ken .,8451
Karachi _CONJ_,1065
Kaye _NOUN_,4273
Kenzie_NOUN _PRT_,1655
Keith (,2120
Kathmandu ,_.,3815
Kenneth R.,2901
Kate would_VERB,2556
Kans .,1764
Kendall '_PRT,1021
Kenji_NOUN ,_.,1056
Karen_NOUN .,14859
Karl_NOUN Jaspers_NOUN,2238
Kent_NOUN and,7283
Keely_NOUN _PRT_,1352
Kean _VERB_,1381
Kennedy ),1398
Ken ,_.,11345
Kazan ,,3413
Kazakh_NOUN _NOUN_,8640
Kelsey .,2591
Kang ,,24685
Keep these,1665
Kantian _CONJ_,1601
Kate_NOUN ._.,36123
Kapur_NOUN _._,4701
Kate and_CONJ,14952
Karl Rahner,2420
Kelsey_NOUN .,2591
Keeps _NOUN_,2310
Kavanaugh_NOUN ._.,1224
Katharine_NOUN ,_.,3899
Keating_NOUN _CONJ_,1503
Kendal .,1004
Ken_NOUN ,_.,11345
Katy said_VERB,1230
Kendrick_NOUN .,1315
Kent _NOUN_,39446
Keeping _PRON_,25867
Kate_NOUN !,2630
Kennebec_NOUN _NOUN_,1200
Katy was,1705
Karl said,1824
Kate_NOUN is_VERB,3221
Kantian _NOUN_,32858
Keitel _._,1712
Kaufman .,1482
Kate_NOUN (_.,1296
Kandahar ,_.,1948
Keep_VERB him,4115
Kemeny _._,1574
Keats _._,12585
Kepler_NOUN _NOUN_,3959
Keck_NOUN and_CONJ,1749
Karlin ,_.,1183
Karis_NOUN Lechowicz,1978
Kenneth C.,1151
Kelso _VERB_,1097
Kathleen ._.,6312
Karen_NOUN is,1824
Kelly asked,1856
Karan_NOUN ,,1946
Keith had_VERB,3013
Keeley _._,3196
Kavanaugh was_VERB,1043
Karon sa_NOUN,1308
Karan ._.,1306
Kenny _ADV_,1502
Kayla_NOUN and,1678
Kannan_NOUN _NOUN_,1717
Kay had,1272
Kelly_NOUN _CONJ_,17034
Karma _._,8734
Katie ,,18773
Keep him_PRON,4117
Kemp Smith_NOUN,1029
Karna _VERB_,1480
Kennedy_NOUN _DET_,1245
Kapoor _._,5899
Keegan_NOUN _PRT_,1140
Keltner_NOUN _._,2875
Katotohanang_X sinasabi,1848
Kannada_NOUN _._,2291
Karsh _._,1029
Kat_NOUN was,2724
Kelley_NOUN _PRT_,3002
Katya 's_PRT,1830
Kazakhstan is_VERB,1004
Kampuchean_NOUN _NOUN_,1339
Keith_NOUN to,1157
Kelly did,1414
Kate 's,29483
Kasper ,,3443
Kenya and_CONJ,11462
Kennedy_NOUN would_VERB,1472
Kegan Paul,29209
Kenyan government,1543
Kendall_NOUN 's,5223
Kennan 's_PRT,1418
Kate_NOUN to_PRT,3379
Kant_NOUN _VERB_,60362
Kei_NOUN _VERB_,1182
Karma ,,3318
Ker_NOUN _._,5446
Kelsen 's_PRT,2128
Kennedy -_.,2818
Katharine 's,3093
Kentucky -_.,1072
Kate -_.,1426
Kane_NOUN said,2318
Kaushal_NOUN _._,1132
Kavanaugh ._.,1224
Kathleen_NOUN .,6310
Kang_NOUN and_CONJ,2925
Keep_VERB (,1057
Kauffman_NOUN _VERB_,1454
Kenna_NOUN ,_.,1314
Kemp_NOUN 's_PRT,2322
Kasper_NOUN _NOUN_,2861
Katie_NOUN asked_VERB,1831
Kelly ),1307
Kavanagh_NOUN _._,5404
Kastner_NOUN ,_.,1661
Kaur and,1551
Keohane and,1603
Katy _PRT_,3924
Ke_NOUN ,,11343
Kearney_NOUN ,_.,8084
Kemp _NUM_,1079
Kenny_NOUN _VERB_,20906
Kemp ,,14849
Kellie _._,1892
Kensington and,2060
Kay_NOUN bisan_X,1185
Kassim_NOUN ,_.,1045
Kemmis_NOUN ,,1275
Karam_NOUN ,,1366
Kazakhstan_NOUN 's_PRT,2655
Kelvin _._,9483
Keep_VERB the,34611
Kept_VERB _DET_,1128
Kazakhstan_NOUN _NUM_,2069
Karon_NOUN sa,1308
Kavanaugh_NOUN _._,5600
Keita_NOUN _VERB_,1405
Katie_NOUN _DET_,1248
Katherine is_VERB,1031
Kay 's_PRT,5302
Kat_NOUN had_VERB,2528
Keep .,2568
Kenya is,2096
Katy_NOUN said,1230
Keeper_NOUN 's_PRT,1656
Kemble_NOUN _VERB_,1296
Kathleen_NOUN _CONJ_,2038
Karnataka_NOUN _ADP_,1155
Kennedy_NOUN _ADP_,12005
Kandinsky ,_.,1869
Kathleen_NOUN 's_PRT,3261
Kaunas_NOUN _._,1663
Kent_NOUN ',1172
Katie had,5284
Kept_VERB _NOUN_,1721
Karnataka _NOUN_,5849
Kent had,1945
Kanter ,_.,3372
Katrina 's_PRT,2814
Keep in_ADP,37139
Kaneko _._,2687
Keep_NOUN ,_.,1143
Keltner ,_.,2531
Kansas Press,1672
Kanfer_NOUN _._,1117
Kassel _NOUN_,1598
Kayo'y _NOUN_,1113
Kautsky ,_.,2599
Kathleen _._,16045
Katie ?_.,2966
Keller _CONJ_,4833
Keiko_NOUN _NOUN_,1538
Kate 's_PRT,28958
Kerber_NOUN _._,1653
Keeler_NOUN _._,3169
Kasai ,,1170
Katz_NOUN _NUM_,2877
Keep him,4118
Katie would,1075
Kathy _PRT_,7179
Kansai_NOUN _NOUN_,2270
Kenney_NOUN ,_.,5147
Karin_NOUN ,,2321
Kara -,1701
Keats and_CONJ,1884
Karen had_VERB,3727
Karna_NOUN _._,1520
Kenya_NOUN _DET_,1263
Kant _VERB_,60434
Kate_NOUN sat,1273
Ken_NOUN 's_PRT,7778
Kenneth_NOUN M.,2148
Kara_NOUN had_VERB,1548
Karl_NOUN Polanyi,2790
Keep looking,2023
Kelvin ,,2863
Kawano ,,1032
Kate_NOUN 's_PRT,28958
Keir _VERB_,1143
Kant_NOUN calls_VERB,1216
Katy ,_.,5366
Kaufmann and_CONJ,1431
Kenny_NOUN said,1392
Kara_NOUN _ADP_,1375
Kapital_NOUN ,,1055
Karan_NOUN 's_PRT,1007
Katrina_NOUN ,_.,7884
Kegan ,,1373
Karan_NOUN _PRT_,1233
Kenya was,1453
Kaplan_NOUN 's_PRT,3268
Kemp_NOUN and,2150
Kentucky and_CONJ,6153
Katharine_NOUN 's,3093
Kendra_NOUN ,_.,2623
Kawashima_NOUN ,_.,1656
Kansas_NOUN :,1682
Katy .,3665
Kang ._.,1718
Kennedy ?_.,1089
Katharina ,,1074
Kathy 's,5806
Kayla_NOUN was,1706
Kat_NOUN 's_PRT,6604
Kano_NOUN _NOUN_,4460
Kay siya,1112
Kari and_CONJ,1001
Kent .,14415
Kanu_NOUN ,,2649
Kennedy_NOUN on,1034
Keeper 's_PRT,1656
Kellam_NOUN Parsons_NOUN,1048
Karan_NOUN _._,4084
Kaye_NOUN _NOUN_,4271
Kepler_NOUN _VERB_,7018
Keren_NOUN ,_.,1081
Kaushik_NOUN ,_.,1849
Kaylee_NOUN _VERB_,3009
Karachi .,2336
Katy ._.,3664
Keisha_NOUN 's,1184
Karen _NUM_,1188
Karnak_NOUN ,_.,1162
Ker_NOUN (_.,1810
Karen E._NOUN,1543
Kan. _._,1278
Kari_NOUN _._,4878
Kate_NOUN ,_.,42965
Keep_VERB my_PRON,1927
Karnac _._,3932
Kar_NOUN ,,2636
Keaton _VERB_,3759
Keating and,1265
Kat ,_.,7321
Keane_NOUN ,_.,7691
Kennedy _PRON_,1237
Katz_NOUN _CONJ_,7689
Kentucky Derby,2855
Kendra_NOUN ._.,2565
Kate thought_VERB,1980
Katie_NOUN said_VERB,5084
Keely _VERB_,5113
Keeney_NOUN ,,1396
Keep_VERB a_DET,13107
Kendall said,1034
Katy _ADV_,1147
Kenya_NOUN 's,8629
Kensington ,,6387
Karl_NOUN Mannheim,1992
Kellan .,1348
Karan_NOUN ,_.,1946
Kazakhstan_NOUN and_CONJ,3944
Kenya _VERB_,15542
Ke ,,11346
Karam_NOUN ,_.,1366
Karine_NOUN _NOUN_,1119
Kennard_NOUN _._,1966
Kaplan &,1518
Ken_NOUN had_VERB,2453
Keating_NOUN and,1265
Kay _NUM_,1941
Kandel_NOUN ,,3472
Keele _._,1605
Katayama_NOUN ,_.,1470
Keely _PRT_,1355
Keith had,3013
Karl E.,1116
Keener_NOUN _._,4493
Kellett_NOUN ,_.,1235
Keddie _._,1989
Keep_VERB calm_ADJ,1412
Kaufman _NUM_,1685
Keneally_NOUN _PRT_,1566
Kansas Press_NOUN,1672
Kate ._.,36123
Keira _PRT_,1028
Keith _NOUN_,62010
Keohane_NOUN ,_.,4438
Kannada ,_.,1033
Kant_NOUN _._,68096
Kellan 's,1472
Kathleen_NOUN A._NOUN,1071
Karolina_NOUN _VERB_,1113
Katherine_NOUN had,2808
Kaspar _VERB_,1280
Katzman ,,1164
Keep track,1792
Kenny ._.,4125
Kelly _NUM_,5291
Keith_NOUN _CONJ_,6267
Keely ,,1197
Karl Jaspers,2245
Katarina_NOUN _._,2126
Kean_NOUN _._,3889
Kawamoto_NOUN ,,1044
Keating_NOUN _NOUN_,3249
Kant_NOUN was,2873
Kars_NOUN _._,1248
Katie_NOUN _VERB_,73630
Kennel_NOUN Club,2401
Katha _NOUN_,1291
Keep_VERB (_.,1057
Keep _PRT_,16133
Karma_NOUN _NOUN_,5999
Kelly_NOUN Olliffe,1333
Kawamura_NOUN ,_.,2180
Kensington Palace,1847
Kana _._,1303
Kansas_NOUN in,1655
Kamil_NOUN _NOUN_,2121
Katherine _CONJ_,4076
Kaminski_NOUN ,_.,2478
Keepers of_ADP,1906
Karabakh ,_.,1027
Keeper_NOUN _NOUN_,3081
Keaton_NOUN 's_PRT,1272
Keeping his_PRON,4715
Kathleen was_VERB,1717
Keith_NOUN (_.,2120
Kee_NOUN _VERB_,1768
Kendall_NOUN _ADP_,1314
Karina ,_.,1183
Keeping an,2065
Ke_NOUN had_VERB,1795
Kane _._,30966
Kansas and_CONJ,5545
Katherine_NOUN and_CONJ,3851
Kelly and,14319
Katie '_PRT,1615
Keiko_NOUN _._,1343
Katherine_NOUN .,10360
Kaplan _PRT_,4064
Katie said_VERB,5084
Karen_NOUN ',1246
Kenneth_NOUN S._NOUN,1744
Kashmir _NUM_,1105
Kathy_NOUN and_CONJ,3829
Keita _._,1458
Kaufman_NOUN et_NOUN,1089
Kandahar_NOUN _._,3425
Karachi_NOUN .,2335
Kenyan _ADJ_,2024
Kant_NOUN ,_.,48766
Karan _._,4085
Kennedy on,1034
Karlovy_NOUN Vary_VERB,1342
Karma_NOUN and_CONJ,1109
Keohane_NOUN _CONJ_,1691
Ke_NOUN _PRT_,8168
Kanfer _._,1117
Katherine_NOUN _._,29225
Kant_NOUN _PRON_,2357
Kassin_NOUN _._,1135
Kelemen_NOUN ,,1268
Kenyon ,_.,5332
Kendra was_VERB,1182
Kelman ,_.,2467
Katharine _PRT_,3770
Kammen _._,1277
Katy_NOUN _ADV_,1147
Kapadia_NOUN ,_.,1060
Kaneko _NOUN_,2236
Keats_NOUN ,,7511
Kellogg _CONJ_,1178
Kemal_NOUN Atatürk,1111
Ker ,,1848
Kansas _CONJ_,6961
Kentucky to_PRT,1698
Kampf_NOUN ,_.,2252
Kate_NOUN stood,1008
Keep in,37209
Keisha_NOUN 's_PRT,1153
Kassin ,_.,1070
Kendall _CONJ_,3627
Kathy and_CONJ,3829
Kathleen _VERB_,17484
Karl_NOUN Kraus,1149
Kate asked_VERB,4924
Kennedy_NOUN would,1472
Keeping_VERB one,1170
Kashmir ,_.,11802
Katrina had,1273
Kayla ,,3764
Katznelson_NOUN ,,1653
Kay_NOUN 's_PRT,5302
Kel_NOUN _PRT_,1377
Kaur _CONJ_,1865
Kate to_PRT,3379
Kathy_NOUN was_VERB,3212
Kamil ,_.,1424
Keller 's,3625
Kapelman Murphy_NOUN,1295
Keke _VERB_,5755
Kane_NOUN had_VERB,1839
Kaminsky_NOUN _._,1991
Kentuckian_NOUN _._,1172
Kempe_NOUN ,_.,2636
Kenya :_.,5205
Kay_NOUN ,_.,19485
Keats _ADP_,1415
Ker _._,5447
Kate_NOUN .,36123
Kay_NOUN said_VERB,1155
Kelly says_VERB,1206
Kenna 's,1156
Katy_NOUN ._.,3664
Katrina_NOUN 's_PRT,2814
Kantian and,1200
Kapila_NOUN _._,1031
Kay_NOUN -_.,1545
Kantianism _._,1662
Karl was_VERB,2766
Kant ._.,7032
Kaufmann (_.,1961
Kathy ,_.,7013
Kari_NOUN and_CONJ,1001
Kearney_NOUN and_CONJ,1327
Kate smiled_VERB,1434
Karma ._.,2381
Kentucky_NOUN )_.,1123
Kansas ,,34282
Keeler_NOUN ,_.,2434
Kenneth J._NOUN,3780
Kemp 's,2345
Kat_NOUN asked,1299
Kaplan (,3302
Keio _NOUN_,2052
Ken_NOUN 's,7830
Kenneth_NOUN _CONJ_,2066
Katayama ,_.,1470
Kayo'y_NOUN _NOUN_,1113
Kendra_NOUN _PRT_,3490
Kennedy _ADV_,5793
Kelsey_NOUN _CONJ_,1351
