Xianhe_NOUN _VERB_,2500
Xing_NOUN _PRT_,24736
Xue said_VERB,2513
XR ,,1561
XXI_NOUN ._.,11829
X |_.,6171
Xing_NOUN ._.,7907
Xiao_NOUN Feng_NOUN,6177
XIII Table,4416
Xing_NOUN replied_VERB,1661
Xiaoxiao had,2687
X &,1274
XXII_NOUN Table_NOUN,2438
X_NOUN C_NOUN,1922
X0 _NOUN_,1118
X_NOUN S,1759
Xie ._.,2414
Xin_NOUN suddenly,1211
Xuan_NOUN ._.,8013
X v,1593
XXIX »,1155
X. A_NOUN,1695
Xavier_NOUN had_VERB,1655
Xu &,1082
XXV_NOUN .,8049
Xi_NOUN Yao_NOUN,1378
XVII_NOUN Table_NOUN,3405
XML_NOUN _._,8086
Xiaomo _VERB_,2297
X 's_PRT,11139
Xianer_NOUN _VERB_,2372
Xiao Su,2317
XIX_NOUN Table,3002
Xuan_NOUN did_VERB,3072
XX _CONJ_,1430
XXIV _._,14815
XY_NOUN _VERB_,1098
Xu Y,2409
Xiang and,4651
X._NOUN Hu_NOUN,1530
XIX_NOUN _._,23651
Xander_NOUN _CONJ_,1753
Xerxes_NOUN '_PRT,1916
Xiao _._,61076
Xu_NOUN Lin,1397
X._NOUN L._NOUN,1509
Xiang 's,10397
X_NOUN _NUM_,217612
X_NOUN as_ADP,3742
X_NOUN syndrome,3396
Xbox_NOUN _NUM_,1492
Xue did_VERB,1914
Xianxian_NOUN ,_.,1535
Xu 's,8864
XOR_NOUN _._,2384
Xiaoya_NOUN 's_PRT,1194
XH_NOUN _._,2416
Xenophon ,_.,4919
XX_NOUN ,,7228
X1 ,,4956
Xiao_NOUN Ai_NOUN,3246
Xiao Wen_NOUN,14774
Xiao ,_.,41041
Xiang_NOUN Lan_NOUN,1916
XXXI_NOUN Table,1123
Xiaomei_NOUN was_VERB,1120
Xu_NOUN had,2358
Xing_NOUN immediately_ADV,1432
Xue Bu,1091
Xu_NOUN 's,8863
X_NOUN |,9681
X l_NOUN,1552
Xiao_NOUN Ming_NOUN,1640
XRF _._,1660
X1981_NOUN A_NOUN,1296
Xiyan_NOUN 's_PRT,1917
Xia_NOUN Yi_NOUN,2199
Xerox _VERB_,1234
Xavier 's,6408
XV_NOUN :_.,1258
XVIII ._.,18063
X._NOUN _ADJ_,1320
XIX (_.,1461
Xiao_NOUN Zi,1863
Xiaoluo_NOUN _VERB_,1378
X Corps_NOUN,1143
X. Liu_NOUN,4541
X t_PRT,1592
Xin_NOUN 's_PRT,21629
Xin_NOUN ',3369
Xu et_NOUN,15779
X. Lu,1220
Xiao_NOUN Xuan,3815
XT_NOUN _NOUN_,1928
XML_NOUN _CONJ_,1445
Xiaoshu_NOUN _VERB_,2333
Xander _NOUN_,2057
XXXVII_NOUN .,3437
Xenophon_NOUN ._.,1033
X 7d_NUM,8628
Xing _._,34170
X_NOUN 3_ADJ,1141
XXVI_NOUN ,,2314
Xue_NOUN '_PRT,1716
Xue _ADP_,3263
Xi_NOUN Xi_NOUN,2156
Xie_NOUN Jin,2846
Xiao ?,1516
XII ._.,29124
XML )_.,1306
XIV_NOUN and,2098
Xu _NOUN_,316185
X_NOUN Free_NOUN,1061
Xiao_NOUN !,1628
XXVII_NOUN _._,11236
Xinghe 's_PRT,2539
Xi_NOUN said_VERB,4758
Xuan Yuan,1563
Xiao_NOUN asked,1624
X ;,8131
Xiao_NOUN Lin_NOUN,3131
X =_X,31130
Xiao Ke,2403
Xiaoping and_CONJ,1152
Xiao Tian,6037
Xin Han,3172
Xiao_NOUN He_PRON,1756
Xun _CONJ_,1463
Xinghe_NOUN _._,2646
Xin Yu,1189
XXII_NOUN (,1019
Xuan ._.,8014
XIV_NOUN .,33263
Xiangrong_NOUN _VERB_,3544
Xin_NOUN said_VERB,4770
Xian _._,14174
Xiao Cui,2254
XV_NOUN CHAPTER_NOUN,1780
X if_ADP,1715
X with_ADP,6142
Xuan_NOUN said,4014
X_NOUN No_NOUN,1581
Xiao family_NOUN,6988
Xing_NOUN suddenly,1150
X MRDS_NOUN,1327
X B_NOUN,1381
Xu Yao,1133
Xenopus_NOUN laevis_VERB,1156
Xiao Fei_NOUN,4367
XII_NOUN .,29052
Xian_NOUN 's,5118
XXXIV ,,1364
XV -,1458
Xing nodded_VERB,2666
Xu_NOUN X_NOUN,2127
X 's,11277
XXIII ,,3761
Xiao_NOUN Ya,5837
Xiang looked_VERB,1289
Xia Qi_NOUN,1128
XG _._,1992
Xue Yao,1979
X ¼,3126
Xiao_NOUN Cheng_NOUN,2170
Xu_NOUN _._,89419
X CHAPTER_NOUN,2410
Xiang_NOUN Fei,3471
X /,6169
Xue_NOUN Bao,1569
Xiruo_NOUN _._,1911
XXIII (_.,1019
X_NOUN e_NOUN,1540
Xilinx _NOUN_,1616
Xiao_NOUN Hua,2741
X }_.,2633
X m,3878
Xuesong_NOUN _VERB_,1079
Xiao_NOUN Bai,6789
Xiao Yuan,1127
Xiao_NOUN Da_NOUN,1262
X_NOUN =_.,4815
Xin'er_NOUN ,_.,1366
Xu_NOUN Lin_NOUN,1397
X.Y._NOUN ,,1425
X. Table,3926
Xmas _NOUN_,1717
X_NOUN 8,1901
X._NOUN Luo_NOUN,1057
Xiaoxiao_NOUN felt_VERB,1074
Xing laughed,4042
Xiaoqing_NOUN ,,1173
Xing ',3043
XML and,1008
XIX_NOUN _NOUN_,13709
X_NOUN was_VERB,4091
Xumi _NOUN_,1506
Xiran_NOUN _._,1103
XI and_CONJ,1862
XI _VERB_,4207
Xiang_NOUN Yun,1196
Xiaoxiao_NOUN ,_.,7848
X_NOUN that,3078
XXIII Table_NOUN,2252
Xuan Yi_NOUN,2531
XXIV_NOUN ,_.,2598
XIII _._,48698
Xu_NOUN Li_NOUN,5611
Xiaoxiao_NOUN '_PRT,1215
XI _CONJ_,2178
Xiaoqing ,,1173
Xinjiang _ADP_,1350
Xia 's,4199
X_NOUN t_PRT,1592
XII _PRT_,1421
X0_NOUN _._,1015
Xue_NOUN to,1679
X. He_PRON,1297
Xpert_NOUN _NOUN_,1080
Xue_NOUN could,1235
Xiaoman_NOUN _._,1033
Xi_NOUN asked_VERB,1552
X_NOUN with,6142
Xu_NOUN _ADP_,2510
XRD analysis,1566
Xander and,1634
Xiao_NOUN _PRT_,34874
Xiaowei_NOUN _VERB_,1433
X has_VERB,6869
Xenophon_NOUN 's_PRT,3961
Xing_NOUN Yue,1252
XIX_NOUN ._.,13606
Xu Z,1455
Xing laughed_VERB,4042
Xiao Jing,1946
X. Chen,3931
Xiaozi _VERB_,2454
X +_.,1657
Xiao Gu,1073
Xiang _CONJ_,4869
Xue_NOUN did_VERB,1914
Xiaoshu _._,1112
Xiao Li_NOUN,6886
Xuan_NOUN Yue_NOUN,1250
X. CHAPTER_NOUN,1955
X. Hu_NOUN,1531
Xenon _NOUN_,1238
XVIIIe_X siècle_X,1486
Xiao Bai_NOUN,6789
Xiaobai _PRT_,4894
X_X =,1326
Xiaoping _PRT_,3084
XL_NOUN .,4069
XVII_NOUN ),1643
XIII_NOUN THE_NOUN,1351
X_NOUN The_NOUN,1150
Xiao with,1108
Xing felt_VERB,3515
Xiaodong _._,1130
Xiaofan_NOUN ,,1131
XIV _VERB_,5952
Xiao_NOUN Su,2317
Xavier _VERB_,22481
Xiao_NOUN Tong_NOUN,11146
Xue_NOUN is_VERB,1091
XVIII (_.,1645
X 9_NUM,1128
Xiao Jia,1635
Xi_NOUN _ADP_,5406
Xian _ADP_,1892
Xu_NOUN Hui_NOUN,6403
Xinghe was,1226
Xero _._,1370
Xue ,_.,20731
XII_NOUN of,1835
Xiaohua _VERB_,2537
XL_NOUN (,1066
XP _VERB_,1332
Xiang Tao,7391
Xi in_ADP,1139
XXVIII ._.,6351
Xun_NOUN _ADV_,1595
XI --,1561
X.L._NOUN ,_.,1208
Xie_NOUN Jin_NOUN,2843
XXVI_NOUN ,_.,2314
X_NOUN ray_NOUN,1464
Xiaoxing_NOUN _VERB_,3022
Xiaochun_NOUN ,_.,1019
X. Sun,1569
Xin_NOUN _ADP_,6062
XIV and_CONJ,2101
X n,18224
Xiao_NOUN Xue_NOUN,5052
Xin who_PRON,1423
Xander_NOUN had,1643
Xuan_NOUN 's_PRT,18324
Xerxes_NOUN .,1226
XLI _NOUN_,1559
XIII_NOUN THE,1370
Xiao felt,1462
X. Yang_NOUN,1890
Xu_NOUN Feng_NOUN,3961
XRD_NOUN analysis,1566
XI :,2696
Xiao Lian,1237
XV ._.,23247
Xn _VERB_,1015
Xander_NOUN 's,4141
XVIIe_X _X_,1565
X_NOUN <,1898
XI_NOUN _._,61539
Xiao _DET_,1116
Xiyue _._,1429
X1973 THE_NOUN,1735
X1973_NOUN THE,1503
X_NOUN are,4507
X2 _NOUN_,3578
XIV_NOUN :,1708
Xianbei_NOUN _NOUN_,1979
Xen_NOUN ._.,1252
XXXIX _._,4742
X →,11663
X._NOUN We,1262
X.J._NOUN _._,1253
Xiong _._,12612
X. Huang,1572
Xi_NOUN -,1204
Xiong_NOUN _CONJ_,2078
X._NOUN Zhu,1137
Xiao Zhao_NOUN,3650
Xia Mu,3224
X. M._NOUN,1084
Xu Yi,2550
X_NOUN Corp._NOUN,1191
Xing replied_VERB,1661
Xiaoya_NOUN _VERB_,4226
Xiaolou_NOUN _VERB_,2877
Xia_NOUN Yan,1282
XVII _NOUN_,13997
Xiaoping_NOUN and,1107
Xiao_NOUN Hong_NOUN,4980
XIV_NOUN ),1480
XS ,_.,1722
Xia Hou,3962
Xiao Nan,4200
XLIV .,2392
Xiao Fang,2105
Xiaoya _VERB_,4227
Xi_NOUN Chen,10644
X_NOUN on_ADP,4283
X ],11270
Xin_NOUN Yu_NOUN,1189
Xiaoqi _._,1378
Xia _CONJ_,3002
Xiaosu 's_PRT,1462
Xiaoxiao_NOUN looked,1449
X 9,1150
X_NOUN ~_.,1854
Xiu_NOUN _PRON_,1264
XC_NOUN ,,1241
X_NOUN factor_NOUN,2106
X._NOUN _NUM_,9269
Xiaobai .,1520
X. THE_NOUN,1942
XXVII_NOUN Table_NOUN,1624
X1_NOUN and,1032
XXXI Table_NOUN,1123
XML and_CONJ,1008
Xianxian_NOUN 's_PRT,2186
Xi would_VERB,1386
Xiaoyuan_NOUN _VERB_,9286
Xn_NOUN _NOUN_,3265
XZ -_.,1214
Xiang Tian,1184
Xk_NOUN _._,1317
XML_NOUN file_NOUN,2445
XZ -,1216
Xue_NOUN _VERB_,42769
X._NOUN Yu,1095
XV :_.,1277
X (,88538
XXXX _NOUN_,1079
Xena _VERB_,3318
Xian was_VERB,3001
Xue_NOUN did,1914
XIII :,1722
X_NOUN (,88523
Xu_NOUN and_CONJ,8025
Xiruo _PRT_,2376
X_NOUN _NOUN_,431564
Xu Que,1421
Xiao_NOUN looked,2887
Xue Er_NOUN,2307
Xiaoyue_NOUN _VERB_,6125
Xin in_ADP,1274
Xiao suddenly_ADV,1204
Xiaoxiao said_VERB,1176
Xiao_NOUN Wei_NOUN,2462
Xiaochun_NOUN _._,1164
X_NOUN ij,1739
XXI CHAPTER,1201
XXVI Table,1759
Xian did,1025
Xiyan ._.,1075
Xiao_NOUN took_VERB,1076
X \,2342
X a_DET,3754
Xð Þ_NOUN,1344
Xie_NOUN _PRT_,6528
Xerxes_NOUN ',1939
Xin nodded,1393
Xu '_PRT,1154
Xiaoran _VERB_,4232
Xing quickly,1082
Xiao Fei,4367
XIV_NOUN -,1197
XLI_NOUN ._.,2855
Xia_NOUN et,2870
Xing 's,18821
Xiong_NOUN ,,10460
XII_NOUN -,1647
X_NOUN I_PRON,1059
Xiu_NOUN said_VERB,2085
XXIV_NOUN Table_NOUN,2090
X_NOUN and_CONJ,59188
Xu Family,4707
X. Zhang,6413
XML_NOUN document,1934
Xena _._,2325
X d_VERB,1676
Xiyu _VERB_,2959
XVIIIe siècle,2587
Xue was,6442
Xinjie _VERB_,2061
Xu Fu_NOUN,1356
XIV -,1679
X_NOUN 10d,6933
Xu_NOUN ._.,5989
Xie_NOUN Ying_NOUN,3599
Xuan_NOUN was,9398
X 5,5981
Xing with_ADP,1095
Xue Fu_NOUN,1554
XXIV_NOUN Table,2090
Xantholinus_NOUN ;_.,1996
Xuan_NOUN Yi,2644
Xia Empire,1689
Xi and_CONJ,7156
XML_NOUN ._.,1293
Xiang could,1398
Xuan_NOUN did,3072
Xia ,_.,21307
Xiao_NOUN -,2168
X_NOUN >,2318
Xiu _PRT_,14650
Xia_NOUN ,,21307
Xiaoling_NOUN _VERB_,1769
X 0,11642
XSS _NOUN_,1620
XV (_.,1998
XML_NOUN _NOUN_,21565
Xixi_NOUN _._,1298
Xuan Sect_NOUN,1971
Xiang_NOUN said_VERB,3262
Xin ?_.,1239
Xiao_NOUN Long_NOUN,1395
X_NOUN The,2319
Xiao_NOUN Qiang,3835
Xue was_VERB,6442
Xiaoqi _PRT_,1315
XXX_NOUN Table,1256
X1973 _ADJ_,1151
XI_NOUN -,1824
Xiaotian_NOUN had,1228
XY _._,8099
XML_NOUN )_.,1304
XIII_NOUN -,1911
XIV_NOUN _NOUN_,18703
Xie _VERB_,15208
XVII THE_NOUN,1036
Xiaoyuan_NOUN _PRT_,1183
Xu _VERB_,34418
Xiao Lin,3131
X_NOUN l,1547
Xin ?,1239
X into,1539
X_NOUN ?,3710
Xiongnu _NOUN_,1553
XI_NOUN and_CONJ,1858
Xiaoyu _PRT_,4929
Xn_NOUN _._,3463
X THE_NOUN,1985
Xin_NOUN 's,21646
Xian `,2314
Xing_NOUN said,11102
Xin Xin,2845
XVIII_NOUN .,18014
Xiaobo _._,1030
Xu_NOUN Fuguan,1879
Xiaobai_NOUN ,_.,2263
Xia was,2548
Xiaobai _VERB_,9812
Xiaoxiao_NOUN ',1241
Xu_NOUN H_NOUN,1522
Xiaojia _VERB_,2240
Xavier ,_.,7693
Xero _NOUN_,1475
Xiao Tong,11149
Xuan ?,1262
Xi'an_NOUN Jiaotong_NOUN,1352
X_NOUN (_.,88523
XII and,1512
Xiao Hei,4955
Xu_NOUN did,1305
Xianxian _._,2539
Xing_NOUN _CONJ_,9962
Xin_NOUN in_ADP,1273
Xlibris_NOUN 1-888-795-4274,2392
XO _._,3363
Xiong_NOUN _ADV_,1258
Xiang_NOUN and,4649
Xiaobai_NOUN 's_PRT,4075
Xiao Chen_NOUN,48454
XIV _ADP_,4427
Xiaoxiao _VERB_,41076
XIV Table,4187
XU_NOUN _NOUN_,1430
Xbox_NOUN _._,1905
Xiu_NOUN had,3331
XIV :,1741
XVI (_.,2484
Xin _PRT_,27918
Xie_NOUN Min_NOUN,2221
XVII CHAPTER,1568
Xinyao_NOUN _VERB_,2653
Xun ,_.,4295
XV ,,8533
X_NOUN x_NOUN,2069
X_NOUN _VERB_,159891
Xi_NOUN Yan,1517
XVI_NOUN .,23187
XIV_NOUN of,1620
XXXVI ._.,3801
Xie Ying_NOUN,3599
Xi_NOUN would,1386
Xu_NOUN X,2127
Xiao_NOUN '_PRT,3956
X_X ],8309
X C_NOUN,1922
X.Y. _NOUN_,1020
X_NOUN 's,11276
Xue_NOUN ._.,6295
X L,1713
Xiaoxian _VERB_,1793
Xenophon_NOUN ,_.,4919
Xiu '_PRT,1917
X Corp.,1191
Xi Yao_NOUN,1378
Xi _NOUN_,101174
Xiao Yuan_NOUN,1127
XIII .,26143
Xiaobao _._,1848
XVI_NOUN _NUM_,1444
X_NOUN \,2333
Xiaoxue_NOUN ,_.,1605
Xue Bao,1569
Xu Huan,1215
Xu You_PRON,1321
Xie had_VERB,1295
X_NOUN Factor_NOUN,1229
XXIII_NOUN ,,3758
Xu Chao_NOUN,1609
Xu_NOUN C_NOUN,1095
XX_X ),1540
XR_NOUN ,,1561
XRD_NOUN ),4277
XXIX »_NOUN,1155
XV _ADP_,2458
Xiao_NOUN Mei,2938
X _NUM_,217651
Xuan_NOUN _CONJ_,7490
Xuan_NOUN !_.,1243
X1 _NUM_,1270
X.S._NOUN _._,1319
Xu Yan_NOUN,1457
Xiang_NOUN ._.,4232
XVII_NOUN CHAPTER,1566
Xing Yue_NOUN,1252
Xinyue was_VERB,1086
Xu_NOUN Jie_NOUN,7596
Xue_NOUN to_PRT,1679
XXXV _NOUN_,2627
Xinghe_NOUN was,1226
Xi has_VERB,1358
Xin said,4770
Xiu _._,17987
Xing_NOUN _PRON_,1022
Xi ,,23541
X_train ,,1643
Xi_NOUN has_VERB,1358
X_NOUN 14,2986
X E,1130
Xu et,15878
Xie Fei,18577
X._NOUN Zhao,1607
Xuan had,5174
XV .,23248
XX_NOUN %,1565
Xi'an_NOUN ,_.,3213
XVII (_.,1720
Xue_NOUN Ji,1933
X._NOUN Zhou,1450
Xiaoyue 's_PRT,1307
XYZ Company,2582
Xiaoshan _VERB_,1027
Xi_NOUN ?_.,1315
X_NOUN has,6869
Xia Xia,1254
X._NOUN Li_NOUN,5633
Xi_NOUN Men_NOUN,4787
X480_NOUN I_NOUN,1237
X 3_NUM,18124
Xin Yi_NOUN,1696
XXXII _NOUN_,3217
XVII_NOUN THE,1051
Xiaoxiao 's_PRT,8862
Xiao_NOUN Wei,2463
XXXIV_NOUN ._.,4221
Xiao_NOUN Feng,6177
Xiao Hui,7336
Xue Xiao_NOUN,1594
Xia et_NOUN,2852
X_NOUN u,1149
Xie_NOUN ._.,2414
X_NOUN P_NOUN,1553
Xu_NOUN Mo_NOUN,1043
X. (_.,20984
XXXI_NOUN .,5296
Xiao Min,6132
Xi_NOUN ?,1315
Xue_NOUN _NOUN_,99790
Xiaomi_NOUN _VERB_,2632
X as_ADP,3742
Xiang Ye_NOUN,1026
XX months_NOUN,1484
XX :_.,3956
XX ),2622
X._VERB _VERB_,2857
X n_CONJ,12952
Xiaojie_NOUN _VERB_,1199
XBRL_NOUN _NOUN_,1203
XX (_.,3910
Xiang Tao_NOUN,7391
X α,1751
Xiang laughed,1871
Xavier_NOUN University_NOUN,1391
XXVII_NOUN ._.,6894
Xing suddenly_ADV,1160
X1_NUM ,_.,1453
Xin_NOUN who_PRON,1421
XIX_NOUN Table_NOUN,3002
XT_NOUN _._,2041
Xing wanted,1003
Xing_NOUN et,1284
Xian ,,7623
XIII and,1225
Xi'an _._,4886
Xiaoling _VERB_,1769
Xin_NOUN turned_VERB,1017
Xiang_NOUN Ying,1653
XVI_NOUN )_.,1813
Xavier was_VERB,1991
Xuanwu _NOUN_,1229
Xiong_NOUN was_VERB,1294
Xue _NOUN_,99791
X 3d,3820
Xiong_NOUN _PRT_,3241
XY _NOUN_,8316
XI _PRT_,1244
XLIX .,1765
XW _._,1124
XLVI_NOUN .,2145
X 8,1901
XLIX _._,2927
Xiaobao_NOUN _._,1846
Xuan Qi,1114
X from,1832
X_NOUN of_ADP,8173
X ∩_NOUN,1740
Xue is_VERB,1091
Xi Chen,10645
X_NOUN and,59188
X --,61477
Xue_NOUN _ADV_,7374
Xander_NOUN and_CONJ,1634
XIII -,2058
Xiu did,1769
X had_VERB,1759
Xiao_NOUN Ge,1021
XIX CHAPTER_NOUN,1390
X _CONJ_,81246
XP_NOUN ,_.,2042
XS ,,1722
XXVI_NOUN _._,11872
Xi_NOUN Men,4787
X_NOUN 3d_NUM,3820
XX _ADP_,2018
X_NOUN Y,5616
Xiao_NOUN Ya_PRON,5837
X_NOUN 10_NUM,4873
XO_NOUN ,,1420
X_NOUN chromosome_NOUN,8038
XII_NOUN _CONJ_,1740
XII _X_,1133
Xie_NOUN _CONJ_,3317
XIXe_NOUN siècle,1102
XI_NOUN Table,5179
Xiao Tian_NOUN,6037
Xin_NOUN nodded_VERB,1393
XVIIIe siècle_X,1600
XLI _._,4662
Xi_NOUN Wu_NOUN,5046
Xena_NOUN _VERB_,3311
Xiaobei_NOUN _VERB_,1515
Xiao_NOUN Da,1262
Xiangming_NOUN _VERB_,1121
Xiaoping_NOUN _CONJ_,1135
XXIII_NOUN Table_NOUN,2252
Xinyue ,_.,1029
XX -,1199
Xuan_NOUN nodded,1014
XO ,,1424
Xavier had,1655
Xiao_NOUN suddenly,1204
Xiao_NOUN ',4032
XXXII_NOUN _._,7272
Xi'an ,,3216
Xhosa_NOUN _._,1506
X_NOUN _ADJ_,17293
Xu had_VERB,2358
Xin .,9850
Xiao Feng_NOUN,6177
Xiao Yi_NOUN,9884
Xiao_NOUN thought,1053
Xin_NOUN ?,1237
Xiaoxiao ,,7849
Xiong_NOUN 's_PRT,2594
Xu_NOUN Yan_NOUN,1457
Xuan Yue,1250
Xue '_PRT,1716
Xero_NOUN _NOUN_,1456
XVII ,,5651
X_NOUN CHAPTER,2410
Xi_NOUN _._,40344
Xiang Yu,6788
Xuan looked,2445
XXV Table,1923
XIAO_NOUN _NOUN_,2457
X_NOUN s_NOUN,2423
XII_NOUN (_.,4610
XRD_NOUN patterns_NOUN,3163
Xiao_NOUN Long,1415
Xcode_NOUN _NOUN_,1064
Xiao Wen,14776
Xu_NOUN ,_.,76971
XXI_NOUN _NOUN_,11383
Xia _VERB_,16633
Xi Yan_NOUN,1517
Xin'er _._,2005
XLIV_NOUN _._,3588
Xiaoxue_NOUN ,,1605
XPS_NOUN ,,1104
Xia and_CONJ,2777
Xu_NOUN Dong,12804
Xing was_VERB,16782
XVIIe_NOUN _NOUN_,1105
Xiaodong _VERB_,3118
Xiaoxiao_NOUN did_VERB,1949
Xander _ADP_,1289
Xiaoli _PRT_,1125
X._NOUN _DET_,5455
Xiaoxiao_NOUN _._,13453
Xue'er 's,1497
XXXI_NOUN ._.,5296
Xuan_NOUN '_PRT,2714
Xin had_VERB,5970
X F,1040
Xi and,7156
Xue Xi_NOUN,3509
XO_NOUN ,_.,1420
Xuan is_VERB,1281
Xiaoyue_NOUN _PRT_,1728
XXIII_NOUN (,1019
X.L. ,,1208
Xiyan .,1075
Xuan_NOUN Yuan,1563
Xia Keke,2172
Xiaoxiao _ADV_,6490
XIII_NOUN CHAPTER_NOUN,1984
XXV .,8108
Xiaomei_NOUN ,,1481
X ×_NOUN,4054
XVI _NUM_,1526
Xue_NOUN Xi_NOUN,3509
Xing_NOUN Bing_NOUN,2017
XXXIX _NOUN_,1927
Xu Feng_NOUN,3961
X. It_PRON,1384
XI )_.,3230
X_NOUN 9_NUM,1128
XVI_NOUN -,1915
Xiao Jing_NOUN,1946
Xing and,9927
XIV _PRT_,4622
Xiaoyu_NOUN 's_PRT,3841
XLIII_NOUN _._,3808
Xerxes ,_.,2471
X._NOUN Yu_NOUN,1095
X such_ADJ,2112
Xia_NOUN Empire,1689
Xu Hao_NOUN,1280
Xenophon_NOUN _PRT_,4685
Xie Ying,3599
Xing _DET_,1189
X N_NOUN,2929
Xiaoju_NOUN _VERB_,1240
Xi 's,21254
Xue_NOUN .,6295
Xiaoxiao_NOUN _CONJ_,2671
Xu Lan_NOUN,1857
XII --,1236
Xinjiang_NOUN _CONJ_,1353
XC_NOUN ,_.,1241
Xiao_NOUN Xuan_NOUN,3815
Xie ,_.,26473
Xuanji _VERB_,1053
Xingchen_NOUN _VERB_,1891
Xiang_NOUN Tao,7391
Xiaolan_NOUN _PRT_,1303
XIII_NOUN ),2072
Xian_NOUN .,2588
Xiaosu _VERB_,10580
Xiao Yue_NOUN,8222
Xiaoyu_NOUN _._,5006
Xiyu_NOUN _PRT_,1237
Xiao Jiu,7040
Xie et_NOUN,4614
Xuan _._,29161
Xiulan_NOUN _VERB_,1237
XRD_NOUN pattern,1983
Xingu_NOUN _NOUN_,1022
XVIIIe_X _X_,1983
Xeon Phi_NOUN,1126
Xin did,4943
Xi'an_NOUN ,,3213
Xingzhou_NOUN _._,1227
X at_ADP,2718
XII _ADP_,4191
Xue_NOUN ,,20731
X2 _X_,1492
X_NOUN v,1590
XP_NOUN _VERB_,1312
Xiaoping ,,3673
Xiang_NOUN said,3262
XXII ._.,10322
Xingu _NOUN_,1027
Xue'er ,_.,2519
Xianxian ,,1536
XML_NOUN .,1293
X c_NOUN,2341
Xiao _CONJ_,11628
Xue_NOUN _ADP_,3258
Xantholinus ;_.,1996
Xiao Qian,3160
Xing asked_VERB,3097
Xiao Jin,9456
Xing_NOUN Yue_NOUN,1252
X 1_NUM,39841
XC_NOUN _._,2960
Xing_NOUN _._,33906
X.H. ,_.,1011
Xie 's_PRT,5205
Xiao Xi,2298
Xuan ?_.,1262
Xavier_NOUN said_VERB,1598
Xingyi _VERB_,1109
Xu_NOUN Qian_NOUN,2140
Xiao_NOUN Mo_NOUN,8931
XII THE,1586
XV Table_NOUN,3909
Xuemei_NOUN 's_PRT,1181
Xiaobai_NOUN ,,2263
X. THE,2040
XXIX_NOUN »,1155
Xia 's_PRT,4198
Xiaoan_NOUN _VERB_,3827
Xiaoyi _VERB_,3541
Xiaoxiao and_CONJ,2632
X._NOUN et_NOUN,3422
Xiya_NOUN _VERB_,1402
Xi _ADV_,10873
XIV_NOUN ,,13984
XIXe siècle_X,1410
Xiang Lan,1919
XXIII CHAPTER,1046
XX_NOUN %_NOUN,1562
Xiao Qing,3416
Xiaoxiao_NOUN ,,7848
XV_X _._,1616
Xing_NOUN replied,1661
Xi'an_NOUN _._,4768
Xuan_NOUN nodded_VERB,1014
Xiaolang _VERB_,1075
Xiao_NOUN Zhu,1499
Xenophon _._,7297
X ⊂,1155
Xiao Qiang,3835
Xiaomei_NOUN ,_.,1481
Xiao_NOUN Lian_NOUN,1226
Xiu_NOUN ',1932
Xiamen _._,2443
Xu L,1505
Xiao_NOUN Hei_NOUN,4954
Xu_NOUN Jun_NOUN,1770
X._NOUN Liu_NOUN,4538
X_NOUN ~_VERB,1004
XXXIII _NOUN_,2957
X_NOUN =_PRT,1595
Xueyi_NOUN _VERB_,2883
Xin_NOUN Yi,1866
XXIII CHAPTER_NOUN,1044
X2 (_.,1116
XXXV _._,6359
Xu Li_NOUN,5611
Xuan_NOUN ?_.,1257
Xin Xin_NOUN,2817
Xiao_NOUN Ran,2040
Xiaoping ,_.,3668
XV_NOUN -,1003
Xing_NOUN could,4094
XXIV_NOUN ._.,9252
X_NOUN ∩_NOUN,1740
Xiao suddenly,1205
XXV )_.,1225
Xiang _PRT_,13558
Xiaoxue 's,1238
X_NOUN to_PRT,9842
XIII _PRT_,1350
Xue_NOUN ,_.,20731
X1_NUM _._,2138
Xiu_NOUN was_VERB,5242
Xiao Xian,1129
Xue_NOUN Ling_NOUN,2302
Xin_NOUN Wei_NOUN,2280
Xiaoqing_NOUN _PRT_,1239
Xun_NOUN .,1589
Xavier_NOUN said,1598
Xianxian_NOUN was_VERB,1728
XVIII _._,31318
Xiao Ling,27835
Xingchen _VERB_,1891
Xing_NOUN _VERB_,114721
XF _._,1855
XPS spectra,1004
Xuan_NOUN Chen,2536
XIII_NOUN _VERB_,3524
Xingyun _VERB_,2369
Xiao_NOUN with,1108
Xiu_NOUN ,,8781
X.J. ,,1017
Xinyue_NOUN was_VERB,1086
X._NOUN Wu_NOUN,1845
Xiaotian_NOUN and_CONJ,1089
Xiaoxue_NOUN _._,2732
Xu_NOUN Wenguang,1882
X syndrome_NOUN,3396
Xiaoyi_NOUN _PRT_,1035
Xi looked,3079
Xiao _ADP_,5846
Xiu_NOUN ._.,4165
Xin _PRON_,2013
XLVIII .,1917
Xiao_NOUN Qin,1481
Xiao Jia_NOUN,1635
X2 _._,7733
Xixi _PRT_,1013
Xiaotian _VERB_,16270
X Free_NOUN,1061
X_NOUN 6_NUM,3057
Xin Han_NOUN,3169
Xin_NOUN could_VERB,2854
XD_NOUN ,,1204
X5 _._,1086
X._NOUN H._NOUN,1194
Xin_NOUN _NOUN_,54893
Xenophon_NOUN _NOUN_,1013
XII_NOUN Table_NOUN,4856
XV CHAPTER,1782
XII_NOUN )_.,3063
X. ,,126073
Xiang Chu,1815
XML_NOUN data,1073
Xavier_NOUN 's,6408
