YWCA_NOUN _NOUN_,1088
Yahweh_NOUN as,1459
Ye did,4296
Yao _PRT_,29265
Yalom_NOUN _PRT_,1203
Yarrowia lipolytica_NOUN,1073
YOU ?,5588
YANG_NOUN _NOUN_,4453
YIELD _._,7837
Yates_NOUN _._,19474
YOU_PRON DOING_VERB,1051
Yang_NOUN H,2186
Y. The,4331
Yarrow _NOUN_,1469
Y.Y._NOUN _._,2641
Yang_NOUN Yan,1798
Yard_NOUN _NOUN_,7972
Yalom_NOUN ,_.,1593
Y. et,8192
Ye looked,2933
Yamazaki_NOUN _._,2913
Yan Bei,3709
Yates _NUM_,1328
YOU EVER,1004
Yan Yun_NOUN,15293
Yamaguchi _._,8080
Y. Lin_NOUN,1556
Yang_NOUN _X_,1210
Yang asked_VERB,1661
Yarbro Collins,1029
Y s,2004
Yaner_NOUN 's_PRT,2777
Y M_NOUN,1462
Yang '_PRT,4673
Ye_NOUN Mo,10883
Ye Ning_NOUN,7111
Yards ,_.,1293
Yao in,1360
YOU SAY,1063
Yangtze River,11309
Yang_NOUN C,1463
Yancy ,_.,1116
Y._NOUN Zhu,1733
Yasmin _VERB_,4330
Y C_NOUN,1910
Y._NOUN Crowell_NOUN,1357
Yaffe ,,1309
Yana_NOUN _NOUN_,1044
Y _VERB_,74285
YZ_NOUN ,_.,1184
YET _._,1751
Y. Xia,1042
Year_NOUN Ended_VERB,3240
Yanran 's,2748
YORK_NOUN _._,4573
Yao_NOUN !_.,1034
Y_PRON a,1305
YY_NOUN _._,5624
Yang_NOUN _DET_,1354
Yale_NOUN 's_PRT,2881
Yang_NOUN Xi,8209
Yanyun_NOUN _VERB_,3707
YD_NOUN ,,1357
Ye_NOUN looked,2933
Yao_NOUN et_NOUN,2307
Yar_NOUN _NOUN_,1363
Yan_NOUN is_VERB,3276
Yang Ming_NOUN,2064
Yancey_NOUN _._,3293
Y.J. _NOUN_,2069
YOU_PRON ,,11085
Yan knew,1336
Yan_NOUN suddenly_ADV,1953
YX ,,1305
Y. and_CONJ,13890
YL_NOUN _._,4855
Yan_NOUN took,1782
Y_NOUN for,2282
Yeah_X it,1342
Yahweh 's,12389
Y llegándose,1394
Ya_PRON is,1137
Y1 ,,1646
Yankees_NOUN in,1757
Ye have,5506
Yancey_NOUN ,_.,2462
Yang_NOUN laughed,1849
YOU MUST,1786
Yankees were,2065
Ye_NOUN et_NOUN,2931
Yang J_NOUN,3696
Y.H._NOUN _._,4655
Yale_NOUN -_.,1833
Y. M.,7319
Ybarra ,,1255
YLT )_.,1012
Yao heard,1043
Yan_X et,1707
Y.T._NOUN _._,1863
Yao_NOUN Yao_NOUN,6942
Yap ,,3595
Yeah_NOUN and_CONJ,1465
Year in_ADP,8488
Y._NOUN Kim,1992
YOU 'RE,6082
Yang_NOUN M,1007
YOUR _ADJ_,15789
Y. pestis,1338
Ye_NOUN .,11303
Y.K. _._,2390
Yan_NOUN shook_VERB,1073
Yan_NOUN knew,1336
Yasir _NOUN_,1764
Yan_NOUN Lin,6267
Yael_NOUN _._,1289
Y in_ADP,4481
Yahweh_NOUN has,2262
Yeah_X _._,820822
Yanran _ADV_,1411
Yang_NOUN Army,1415
Yang_NOUN looked_VERB,3274
Yao Yi_NOUN,1023
Y.B. ,,1111
YHWH ,_.,4063
YHWH ._.,2869
Yang_NOUN with,1594
Yao_NOUN Yan,1116
YLT_NOUN )_.,1012
Y._NOUN Yang,3199
Yaner _._,3464
Ya_PRON -_.,2294
Yarrowia_NOUN lipolytica_NOUN,1073
Yan smiled_VERB,1892
Y. L.,4279
Y. He,1233
Y },1358
YOU _._,45530
Y_NOUN 0,4928
Yamada _NOUN_,7100
Y a,2552
Yadav_NOUN et,2606
Y. _DET_,4936
Yang --_.,1445
Y. Hu_NOUN,1141
Y._NOUN Lu,1507
Yates ,_.,14620
Y2 _VERB_,1706
Yanhong_NOUN _._,1358
Yan_X ,_.,15524
Ye took,1200
Y.F. ,_.,1375
Y.B._NOUN ,,1110
Yanran .,1204
Yahoo! ,,1136
Ye Huan,2098
Ye_NOUN -_.,4779
Yangtze_NOUN _._,1953
Ya said_VERB,2474
Ya 's_PRT,9455
Yahudiler'in _NOUN_,2120
Ye -,4781
YOU_PRON MAY,1838
YHWH is_VERB,1962
Year_NOUN 's_PRT,58963
Yang Xin_NOUN,24704
Yan_NOUN thought_VERB,1586
Y was,1022
Y._NOUN Li,7462
Y.T._NOUN ,_.,1408
Yang W_NOUN,1320
Yanyan_NOUN _._,1387
Yao_NOUN shook,1260
Y. et_NOUN,8189
Yang Ming,2066
Yeah_X ?,35160
Y with_ADP,2108
Yak_NOUN _NOUN_,1061
Yaga _._,1194
Yang_NOUN Jin_NOUN,4085
YELLOW _._,1451
Yan_NOUN ,,49180
Y_PRON t,6731
Yates (_.,1342
Yahweh_NOUN in_ADP,1804
Y OU,8371
Y_NOUN M_NOUN,1462
Yamashita_NOUN _._,4555
YW_NOUN ,_.,2202
Yao laughed,3336
YOU_PRON LIKE,1877
Yang ?,2199
Yayınları_NOUN _._,2869
Y et,6612
Yamamoto_NOUN _NOUN_,9092
Yang_NOUN &_CONJ,1819
Yaga _VERB_,1195
YORK_NOUN ,_.,2221
Yano _._,2566
Yang_NOUN Wei_NOUN,1585
Y._NOUN F.,2400
Y_PRON _DET_,2490
YOU WILL_VERB,8208
YMCA_NOUN _._,5320
Ya _PRON_,5956
YOUTH_NOUN _NOUN_,2101
Y._NOUN Acad,1643
Y._NOUN Ma,1381
Y_NOUN X_NOUN,2497
Yakutsk_NOUN _._,1776
Yanjing_NOUN ,_.,1604
Y._NOUN Zhao_NOUN,3016
Y OUR_NOUN,2707
Year by_ADP,2655
Y_NOUN n,5342
Y._NOUN Zhao,3016
Yale Law,11164
Yahweh_NOUN 's_PRT,12309
Yang_NOUN --_.,1256
Y for_ADP,2320
Y. D.,1405
Y_NOUN 2_NUM,8979
Yard_NOUN _VERB_,6325
Yea_NOUN ._.,1231
Yanran ._.,1204
Yan _PRT_,53527
Yeah_NOUN _._,85787
Yat_NOUN -_.,8421
Ye Xun_NOUN,1976
Yahweh as,1532
Y_NOUN 0_NUM,4808
Yao could_VERB,2440
Y_NOUN at_ADP,1059
Yaw _NOUN_,1445
Yan_NOUN Fei,1276
Yan_NOUN _ADV_,21611
Yang looked,3274
Yamamoto 's_PRT,1034
Yan Nation,3407
Yan_NOUN Kai_NOUN,1855
Ye was_VERB,10191
Y._NOUN _NUM_,17593
Yavuz_NOUN ,_.,1003
Yarrowia_NOUN lipolytica,1080
Yaner_NOUN ._.,1195
Yates 's_PRT,1409
Yamaha_NOUN _NOUN_,1764
Yao _ADP_,7122
Yanks_NOUN _._,1886
Yan_ADJ Xi_NOUN,6895
Year_NOUN "_.,3647
Yard and_CONJ,2315
Yang City,1951
YO _._,1951
Y O_NOUN,1963
Y_NOUN in,4474
Y. W._NOUN,2513
YAML_NOUN _NOUN_,1796
Yan_NOUN saw,1551
Yang felt,1898
Y.L. _NOUN_,1611
Y B_NOUN,1657
Y 1_NUM,11165
YOU_PRON ...,1118
Yano_NOUN _._,2566
Ye must,1711
Y.Y. _._,2641
YHWH is,1962
Y_NOUN llegándose,1380
Yang _X_,1763
Yang L_NOUN,2115
Yahweh as_ADP,1452
Yahweh in_ADP,1827
Y._NOUN _DET_,4768
YOUR_PRON UNDERSTANDING,1637
Yalta _._,3230
Yang_NOUN could,3841
Yalta_NOUN ,_.,1737
Y._NOUN Li_NOUN,7462
Yanran_NOUN .,1204
YR_NOUN ,_.,1510
Y -_.,51577
Yates_NOUN (,1342
Yalom_NOUN _._,2152
Yahuda _X_,1123
Ye_NOUN Sheng_NOUN,2295
Yael _._,1295
Y. S._NOUN,9221
Ye_NOUN Tang_NOUN,1394
Yan_NOUN Leng_NOUN,1914
YEAS ABRAMSON,2224
Yamamoto_NOUN 's_PRT,1032
Y are,7817
Y'all _VERB_,8911
Yankees_NOUN and_CONJ,1744
Ye Zichen,17106
Ya_PRON said_VERB,2474
Yan'an_NOUN _NOUN_,1139
Ya_PRON looked,1365
Y ,,288243
Year 11,1193
YOU_PRON WILL,8214
YOUTH _NOUN_,2101
Yards_NOUN ,,1293
Ye_NOUN were_VERB,1239
Yan Yan,4513
Y. ",2510
Yale_NOUN _ADP_,3446
Ye_NOUN are_VERB,4562
Yan Kai_NOUN,2531
YOU_PRON ._.,10019
Yalom 's,1053
Ya_PRON _CONJ_,3742
Yan_NOUN would_VERB,3796
YOUR_PRON _NOUN_,118565
Y._NOUN J.,5048
Y.C._NOUN ,_.,3467
Yao_NOUN _PRON_,1300
Yang_NOUN looked,3274
Year_NOUN ?,1375
Yang suddenly,1308
Yasuda _NOUN_,2012
Y can,1741
Yanran_NOUN was_VERB,1430
Y_NOUN estaban,1260
Yan Luo_NOUN,3047
Yankees_NOUN ,_.,6365
Y --_.,12397
Year Book,6893
YEARS LATER,1107
Y ¯_NOUN,2735
Ya ?_.,1067
Y )_.,48084
Yale .,5628
YORK ,,2231
Yang suddenly_ADV,1308
Y_NOUN pasando,1272
Ye_NOUN Cheng,43070
Y E,1728
Yang Zi_NOUN,1976
Ye_NOUN Ming,1276
Y ;,3227
Y_NOUN i_NUM,1252
Yang_NOUN City_NOUN,1951
Y as_ADP,1839
YES NO_NOUN,1461
Yankees_NOUN _CONJ_,2064
Yah ,,3249
Yea_NOUN _._,20026
Yay_X ,_.,1646
Y_NOUN the,1458
Yan_NOUN ?,2845
Yao nodded_VERB,2955
Yeah_X ,_.,554898
Yang_NOUN has,1185
Y._NOUN Zhang_NOUN,8239
Yaga_NOUN _._,1179
Y Y_NOUN,9704
Yang ,_.,145759
Yan_NOUN immediately,1195
Yao_NOUN Yi,1113
Yeah ,,617823
Ye could_VERB,2303
Ye_PRON Ya,23435
Ye Mu,1340
Yard .,8083
Yan _DET_,1749
Yard_NOUN _PRT_,2568
YOU THINK_VERB,3304
Yamamoto ,_.,11674
Yeah right,2364
Yadav _VERB_,1012
Ye Xuan,6131
Ye Hao,7389
Ye_NOUN _X_,1122
Ya_PRON was_VERB,5979
Yahweh was_VERB,1475
YOUNG_ADJ SOCRATES_NOUN,1322
Yalta Conference,1607
YW ,_.,2210
Year_NOUN '_.,1897
Ye_NOUN Feng,31640
Y._NOUN Tang_NOUN,1042
Yan had,12537
Yamamoto_NOUN 's,1035
Yale 's,2900
Yahweh will,2122
Yama King,2035
YA_PRON _NOUN_,5012
Yalom _VERB_,1912
Year_NOUN 9_NUM,1607
Yamazaki _._,2914
Yan_X _._,16208
Yahweh_NOUN _PRT_,15036
Y has_VERB,2265
Yao said_VERB,6096
Yan Qiao,1598
Yan _ADP_,10485
Yang_NOUN who_PRON,1414
Yang_NOUN Zhi_NOUN,15229
Ye would_VERB,2429
Y. Z.,1321
Y._NOUN D.,1405
Yamasaki ,,1390
Yan with,1818
Yang_NOUN Zi,1976
Yan would,3805
Yam _NOUN_,2152
Y_NOUN I,1181
Your_PRON Way,2642
York _END_,2674
You May_VERB,3028
Yu also_ADV,3443
Yeung_NOUN ,,4837
Yuan Ming,1386
Yue_NOUN _PRON_,1653
You plan,2278
You_NOUN _PRT_,1030
You_PRON fight,1817
Yields _NUM_,1327
Yup_NOUN ,_.,10068
Your Brain,3547
Yuan_NOUN _VERB_,73094
Yulie_NOUN _VERB_,1539
You create,2749
YouTube_NOUN ,,23183
You_PRON hide,1185
Yun_NOUN took_VERB,1224
Your clothes_NOUN,2210
York_NOUN Evening,3485
Yuval_NOUN _._,1999
You got_VERB,91051
Yu H_NOUN,1434
You_PRON send,2145
Your favor_NOUN,1176
Your_PRON call,2075
Yesterday_NOUN and_CONJ,1589
Yuan_NOUN Shu_NOUN,1234
Your_PRON soul,3814
Yu_NOUN _._,181092
York_NOUN by_ADP,4289
You tend,1546
Your_PRON money_NOUN,2245
You_PRON drink_VERB,2004
Yes (_.,6069
Yuan looked_VERB,2089
Yersinia_NOUN pestis,2355
You_PRON seemed_VERB,6364
You likely_ADV,1458
Yushi_NOUN _PRT_,1055
Yvonne_NOUN ,_.,4439
You folks,1325
Year_NOUN to,2270
Youth Violence_NOUN,1178
Yi -_.,4300
Your daddy,2411
You care_VERB,4594
York because_ADP,1015
You_PRON lost,7004
Young_NOUN Women_NOUN,3840
Youth_NOUN ._.,6943
Yuri ,,2929
You remind_VERB,4252
Years_NOUN in_ADP,10786
You change_VERB,1378
Yuck_NOUN !,1711
You_PRON mean_VERB,139738
Your_PRON Health_NOUN,2358
York_NOUN police,1072
Yu Tong_NOUN,2431
Yue looked_VERB,4762
Yes_X sir_X,9109
You son,2691
Your face_NOUN,9039
Your_PRON purpose,1664
Yehuda_NOUN _VERB_,1118
Your_PRON smile,1461
Yes_X ;,45288
Yi_NOUN to,4204
Young_NOUN Man,8188
You_PRON that,4929
You good_ADJ,1312
Yes_X indeed,3026
Yun ?,1578
You_PRON pick_VERB,3379
Younger _CONJ_,1816
You_PRON gave_VERB,20624
Yuan Han_NOUN,12278
Yuan_NOUN in,1430
You_PRON spent,2751
You play,5350
You_PRON the,4619
Yeshua _NOUN_,1608
Yu_NOUN asked,4081
Youngstown_NOUN _NOUN_,1815
Young said,1188
Your call_NOUN,2074
Years_NOUN '_PRT,25349
You people,4807
Yoshida_NOUN _VERB_,1412
Yes_ADV _CONJ_,13414
Yu_NOUN Qing,2182
Yeh_X ,_.,4017
Years '_PRT,25349
York_NOUN Herald_NOUN,13205
Your_PRON past_NOUN,1074
Yoshikawa ,,2904
Yearning for,1160
Your boy,1481
Yun smiled_VERB,1365
York &_CONJ,2678
York Peninsula_NOUN,1083
Yorktown_NOUN ,_.,2993
You_PRON scoundrel_VERB,1356
Yuwen He,1117
You brought,10907
You lie_VERB,5945
Yellowstone .,2516
Yun_NOUN said_VERB,9416
Yet_ADV a,13103
York ..._.,1139
You_PRON take,36197
You_PRON signed_VERB,1216
Yemeni _NOUN_,8724
Yet her_PRON,5289
York_NOUN Convention,4488
Yes_NOUN please_VERB,1147
Yihan_NOUN 's,1518
Yuchi _NOUN_,6930
Yunfeng_NOUN was_VERB,1308
Yeung_NOUN _NOUN_,2993
Young as,2127
Yet_ADV its_PRON,2368
Your beautiful_ADJ,1125
Yi_VERB Yi_NOUN,1277
Yucca Mountain_NOUN,1501
Your_PRON hair,6708
Year_NOUN and,4350
Your_PRON man,2778
York_NOUN area,1502
Yue did,4251
You_PRON bought_VERB,3993
You_PRON grab,2043
You could_VERB,262085
Yuri ._.,2211
Yisrael _._,2502
Yugoslavia_NOUN 's_PRT,3281
You_PRON read_VERB,8642
Your decision_NOUN,1429
You done,2900
York had_VERB,6468
Your_PRON daddy_NOUN,2377
Yifan ,_.,1571
Yunfei _._,3357
You_PRON ;,1967
Youth_NOUN in_ADP,6492
You gently_ADV,1074
You drink_VERB,2004
York_NOUN Historical,2717
Your kids_NOUN,1769
You seriously_ADV,1808
Yorker_NOUN ,,18431
You_PRON both_DET,11558
Yu Yi_NOUN,1481
Your glory,1812
Yorkshire _CONJ_,3548
Your_PRON girl_NOUN,1155
Yun_NOUN Family_NOUN,4647
Yulian_NOUN _VERB_,1021
You watch,5405
You_PRON knew_VERB,36410
Yusuf _VERB_,4542
You push,3000
Yue Chen_NOUN,1964
Yunjie ,,2854
YouTube_NOUN 's,2042
Yicheng ,_.,1275
Ying_NOUN to_PRT,2412
Your uncle,7384
Yu still,1705
Yi_NOUN _CONJ_,12755
Yi_NOUN raised,1120
You_PRON live_VERB,11708
YouTube_NOUN and_CONJ,6249
You bet_VERB,16376
Yuan_ADJ _._,1220
Yet before,1529
You also_ADV,40825
Yet was,1756
Yi Qian,1011
Yes_NOUN _PRON_,2091
Yoga in_ADP,1150
You better_ADJ,3608
You_PRON opened_VERB,1529
You_PRON call_VERB,13480
You tricked_VERB,1204
Yi_VERB _ADV_,18325
Youth in,6497
Yvon_NOUN _._,1411
Your only_ADJ,3308
Young_NOUN :_.,1657
Yu_NOUN and,30064
Ying would,1417
Yee_NOUN _._,6422
Yep_NOUN !_.,1853
Yucatan ._.,1349
Yosemite National_NOUN,3956
Your hands,9467
Yuan had_VERB,6370
Yes and,11448
Your_PRON people,7922
York_NOUN police_NOUN,1072
Yi .,16779
Yet_CONJ people_NOUN,1332
Yi immediately,1627
Yes_X it_PRON,6881
Your Organization_NOUN,1237
You_PRON doing,2451
Yellow_ADJ --,2363
Yours_PRON and_CONJ,1290
Yu_NOUN held_VERB,1032
Yes_X POS,2306
Yeruşalim'e _X_,2697
Yu_NOUN Yi,1501
Yet_ADV while,6494
Youth _VERB_,13874
You_PRON spent_VERB,2751
Yunus ,_.,1769
You put_VERB,17144
Yeoman _._,1809
You_PRON all,37757
Your_PRON clothes,2210
Yogyakarta _NOUN_,1346
Yu_NOUN H_NOUN,1434
York Stock_NOUN,6770
Young v.,1544
Your_PRON Child,5791
Yin Che,1436
Yu Wan,1615
Yet never,1190
Yun nodded_VERB,1878
You remain_VERB,1201
Yi was,21956
You lied,6447
You died_VERB,1360
You_PRON Have,7075
You_PRON Like,7444
You_PRON refused_VERB,1306
You_PRON lie,5945
Yihan _._,2359
Yoshino ,,1630
Yet_CONJ they_PRON,2138
Your team_NOUN,2764
You buy_VERB,2271
You say,57490
Your_PRON imagination,1154
Your_PRON skin_NOUN,3229
You quickly_ADV,1130
York Academy_NOUN,8295
Your_PRON friends_NOUN,7234
Young _NOUN_,525891
Yes ",13925
Your_PRON point,1550
Yes_X !,98011
You_PRON see_VERB,226083
You meant,1912
Yusuf 's,1427
Ying _VERB_,73679
Yet_CONJ one,1854
You_PRON failed_VERB,1729
Youth Development_NOUN,2592
Yellow_ADJ ,,1244
Youth_NOUN Culture,1602
Yue_NOUN Shan_NOUN,1630
You_PRON walk_VERB,5628
Yixuan_NOUN 's,1276
Yuxin 's,1253
You_PRON on_ADP,2536
Your_PRON grandma,1028
You_PRON made_VERB,37232
Your heart_NOUN,10554
Yer _NOUN_,4119
You for_ADP,14985
Your heart,10557
You_PRON manage,1117
Yue_NOUN _CONJ_,11106
Yijie_NOUN _PRT_,1478
Yellow_NOUN (_.,1255
Your_PRON Lordship,3161
Young Children,10159
You realise,1869
You gonna_VERB,8490
Yuki_NOUN ,_.,1380
York University,57621
Yusuf _PRT_,1802
Ying ?_.,1347
Your head_NOUN,4844
Yer_ADJ _NOUN_,3059
You sold,1567
Yu Jin,1234
Your place,3058
Youth Studies,2224
Yeats_NOUN _VERB_,6769
Yue_NOUN laughed,1939
Your_PRON Dog,1531
Your_PRON holy_ADJ,1524
Yes_X yes,1417
Yuyan_NOUN _PRT_,2078
Your husband_NOUN,13008
Yet only,2279
You ladies,1815
You_PRON stood,2204
You shake_VERB,1032
Yet_ADV they,22626
York New,1116
Yu Lin_NOUN,6790
Ying_NOUN could,1828
Yu shook,1977
Your next_ADJ,2343
Your big,1219
Yesterday afternoon_NOUN,1719
Your Life_NOUN,11744
Yuri _NOUN_,11560
Yin_NOUN ._.,3780
Ying_NOUN 's_PRT,16515
Young India_NOUN,1103
You ladies_NOUN,1813
You_PRON good_ADJ,1311
Your Sins_NOUN,1306
Your_PRON Sins,1306
You asked_VERB,17881
Yuan_NOUN felt_VERB,1058
Yorkshire_NOUN _NOUN_,28094
Yearbook _NUM_,8088
Your Income_NOUN,1263
Youngs_NOUN ,_.,1674
Your aim_NOUN,1049
You_PRON wished_VERB,1530
Young_ADJ Lady,1391
Young_NOUN Miss,2726
You_PRON recall_VERB,1320
Young .,14330
Yokohama_NOUN ._.,1295
Yuan nodded,1137
Years after_ADP,5579
Your_PRON Company_NOUN,1347
YouTube_DET video,2400
Yin_NOUN He_PRON,1296
Yugoslav Republic_NOUN,2839
Youth Studies_NOUN,2224
Yue Ying_NOUN,8850
YouTube 's,2154
You married,2422
Yunjie_NOUN .,2051
York_NOUN for_ADP,12659
Yunhai _VERB_,1744
Yeltsin ,,2842
Youtang _VERB_,1788
Ypres_NOUN _ADP_,1046
You_PRON made,37232
You_PRON finished_VERB,1241
Yes_NOUN _NUM_,11213
Your_PRON ass,1582
York would_VERB,2275
Yorktown ,,3020
You doing_VERB,2451
You_PRON !_.,29226
Yet ?_.,1579
Young ,_.,110149
Yu_NOUN left_VERB,1147
Your_PRON blood_NOUN,3273
Yellowstone_NOUN Park_NOUN,1810
Yes sir_NOUN,13276
Yuck_NOUN !_.,1711
You was,5337
York_NOUN office_NOUN,2631
York at,8817
Your_PRON mom,14078
Yves_NOUN Saint_NOUN,1205
Youth Ministry,1187
Yugoslavia_NOUN (,4897
Yue .,12347
Yorkshire_NOUN Dales,1490
You place_VERB,2084
Young_ADJ --_.,1299
Yves ,_.,1898
You_PRON The,1453
You talked_VERB,4083
Yunjie and,1228
Yuh _VERB_,2288
Yung_NOUN _._,3478
Yorkshire in,1002
Yun_NOUN Zhao,1398
Your blood,3313
Yes_ADV they,1179
Yorkers_NOUN ,,2313
Your loss,1183
Yu_NOUN Ying_NOUN,5809
Your_PRON lips_NOUN,2861
Yufan _._,1059
Yoga _._,16015
Yes_NOUN '_.,3539
Yin Feng_NOUN,1444
Yue heard,1243
YouTube and_CONJ,6846
Yeoh ,_.,1350
You stick,1232
Yin had,1125
Yu_NOUN Shuang_NOUN,2275
Yue Feng_NOUN,1139
You sell_VERB,1181
Your_PRON enemies_NOUN,1459
Yugoslav _._,1465
You_PRON own,3182
You_PRON raise,1194
You earned_VERB,1324
Yoga_NOUN ._.,3833
Yuri_NOUN _VERB_,11383
You_PRON took,20826
You write,4059
Yvette _VERB_,7326
Young (_.,13627
Yet_ADV I_PRON,38705
Yet a,14304
Yukon_NOUN _._,7560
Yes_NOUN and,2591
Yukon _._,7561
Yonge Street,1055
You son_NOUN,2691
Your_PRON true_ADJ,1532
Yourself "_.,1027
Yun did,4886
Years and,4633
Ying Ying,4645
York "_.,4863
Yuan to,2663
Yi_NOUN stood_VERB,1083
You_PRON do,794783
Your_PRON next,2346
Young_NOUN _ADJ_,1209
YouTube ._.,15001
Yours ?_.,2475
Yellow_NOUN ,,4458
You again,1620
You ;,1977
You believed_VERB,1733
Ying would_VERB,1417
York in,27500
Yi_NOUN heard,1152
You_PRON smile_VERB,3584
Yu_NOUN Yu,2437
Your dad_NOUN,16721
Yet_CONJ a_DET,1198
Yunjie .,2051
Yes_X ma'am_X,1669
Yemen _PRT_,3709
Young_NOUN _PRT_,45396
Yield (_.,1622
Your grace_NOUN,2907
You_PRON okay,36973
You_PRON threw,1995
You found,12111
Years_NOUN from,1041
Yorktown_NOUN _NOUN_,1722
You_PRON "_.,13233
Years of,63742
Yugoslavs _._,1300
You_PRON ._.,50121
Yearbook_NOUN (_.,2501
Yi_NOUN Cheng_NOUN,1000
Yun Yi_VERB,2003
You_PRON take_VERB,36197
You ready,14489
Your_PRON breathing,1184
Your sisters,1166
Your words,7893
Your entire,1353
You cry,1273
Yet_ADV once,2419
You_PRON love,23567
Your_PRON first,9986
Your_PRON grandmother_NOUN,4961
Yet surely,1090
Young_NOUN Mr.,1108
You_PRON yourself_PRON,4559
Young Miss,2726
Yellowstone_NOUN River,1675
Yen_ADJ _._,2058
Yuehan _VERB_,2264
Yu_NOUN suddenly,3052
You_PRON _X_,43885
Your honor,2330
Yu_NOUN Rou_NOUN,1128
Yes sir_X,9109
Young girl_NOUN,1292
You_PRON either_DET,2335
Yes ;,61479
Yuri was,1079
York on,10203
Yokota_NOUN ,_.,1373
Yours_PRON very,2585
You_PRON teach,1573
Yun_NOUN _PRON_,2499
Ying'er_NOUN _._,1111
You Feel_VERB,1826
Yule .,1621
Yes_ADV please,1259
Your_PRON ...,1603
Yi_NOUN and,12450
Yonder is,1038
You_PRON okay_ADV,3029
Yue felt,1471
Yuan_NOUN _NUM_,1164
Yet_ADV every,2237
You put,17145
Yunyi_NOUN _PRT_,1280
Your Research_NOUN,1186
You_PRON play_VERB,5350
York Minster,1495
Yeoman_NOUN _NOUN_,1462
Yi_NOUN Fei,3878
Yin said,1098
Yue and_CONJ,10814
You_PRON began,1364
Yue Xiang,1501
Your grandmother_NOUN,4961
Yi_NOUN !,1873
Yu_NOUN immediately,3554
Yung _._,5042
Yellow and,2540
Yingjie_NOUN _CONJ_,1052
You try_VERB,10111
Yuexi_NOUN _VERB_,1634
York_NOUN Harbor_NOUN,2530
York_NOUN I_PRON,2019
Yu a_DET,1340
Yu had,20681
You realize,8351
Yue Zi_NOUN,1127
Yokoyama_NOUN ,_.,2138
Yet let_VERB,1146
Yılmaz ,,1127
Yi_NOUN Yun,2440
You_PRON ruined,1726
Your_PRON hips_NOUN,1070
Yesterday_NOUN ._.,2745
Young children,9429
Yucatan Peninsula,1242
Young Deer,1611
Young _._,155712
Yemen_NOUN ,_.,14990
Yu was,40815
Yuan_NOUN Han,12278
Yu_NOUN finished_VERB,1088
Yifei ,_.,1270
Yorke_NOUN _._,6882
Yuigahama_NOUN _VERB_,1318
You draw_VERB,1388
Your_PRON son_NOUN,13107
York_NOUN society_NOUN,1574
Yiran_NOUN _ADV_,1036
Yup !,1197
York office_NOUN,2631
Yueer_NOUN _VERB_,1371
Yorke ._.,1119
Youth ,,17571
Yu Yu,2437
Yu_NOUN Hai,3075
Yucatán_NOUN _NOUN_,3298
Yucatan_NOUN ,,2554
Yet today,1604
Your aim,1049
Yhwh_NOUN _VERB_,1836
Young Sect_NOUN,1806
You_PRON Did_VERB,1193
Yet_ADV today_NOUN,1427
Ying -_.,2216
Your_PRON good,2107
Yutian_NOUN _._,1366
Yemen _NOUN_,6100
Yu Huan_NOUN,6246
Yunqi _._,1455
Yin_NOUN -_.,3995
Yours sincerely,4242
Yu_NOUN Xin,11253
Yuan_NOUN Liang_NOUN,1054
Yin_NOUN is_VERB,1096
You awake_ADV,1127
Yorkshire_NOUN pudding,1296
Yoshimura _._,1800
Yuan_NOUN was_VERB,10686
Yes you,5828
You let,15063
Your_PRON Mother_NOUN,1942
Yuexin_NOUN _VERB_,4038
Yemen 's_PRT,2409
Yunyi _VERB_,3070
Your future,2434
Your children_NOUN,4903
Yu took,3474
York_NOUN Commercial,1359
Youth 's_PRT,2148
Your_PRON job,9720
You_PRON Meng,22793
Yingjie _ADV_,2210
Yun_NOUN nodded_VERB,1878
Yes ma'am_X,1669
Your_PRON mum_NOUN,3721
Yessir _._,3762
Your name,19635
Yi walked_VERB,1212
Yggur _VERB_,1318
Years (_.,8503
You_PRON press,1372
Yet one_NUM,4822
Yvonne 's_PRT,2814
You_PRON enjoy,3163
York_NOUN Tribune_NOUN,8730
Young_ADJ Adult_NOUN,1746
Yoga _ADP_,4969
Yorker _PRT_,1331
You deal_VERB,1005
York_NOUN Yankees,4147
Yun '_PRT,3727
Yung ,,2790
You_PRON keep,22355
Your_PRON presence_NOUN,5497
York_NOUN with_ADP,8215
Your_PRON majesty_NOUN,13814
Yes_NOUN Yes,32354
Yim ,,1398
Yue_NOUN Xiang_NOUN,1501
Your Turn_NOUN,1457
Young Deer_NOUN,1610
Yemen in,1416
Yi would,3406
You_PRON failed,1729
Yugoslavia_NOUN .,10729
Yes_X --_.,10190
Yiddish _ADP_,2370
Yet during_ADP,1334
Yesterday_NOUN _DET_,3349
Yes_ADV _ADJ_,2102
Yhwh_NOUN 's,1934
Yin_NOUN (,2500
Young_NOUN ),1978
Yet_ADV was_VERB,1526
Yes sir,22385
Your First_NOUN,1893
You_PRON really_ADV,84611
Yellow_NOUN and_CONJ,1787
Your_PRON plan,3281
You and,137598
Yi et_NOUN,1560
Yellowstone_NOUN ._.,2508
Yes but,1994
Yellow_NOUN River,10786
Year_NOUN was,1138
York a_DET,2411
You return_VERB,1273
You simply,7309
Yet_ADV many_ADJ,5858
Yun_NOUN suddenly_ADV,1029
York_NOUN during,1842
You_PRON betrayed,1439
Your Grace_NOUN,17059
Yuan_NOUN Shikai_NOUN,1087
York Law_NOUN,1826
